epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
248,0.9609375,0.3125,0.9375,0.234375,0.875,0.1328125
249,0.9765625,0.3984375,0.9140625,0.2421875,0.96875,0.15625
250,0.953125,0.453125,0.9609375,0.2734375,0.9921875,0.1328125
251,0.890625,0.3515625,0.8828125,0.2734375,0.9609375,0.1953125
252,0.9609375,0.3515625,0.96875,0.2109375,0.9609375,0.1640625
253,0.9140625,0.3828125,0.9296875,0.2265625,1.0,0.1875
254,0.9765625,0.2890625,0.953125,0.2265625,1.0,0.1875
255,0.9375,0.3671875,0.953125,0.2265625,1.0,0.2265625
256,0.9453125,0.4296875,0.9140625,0.34375,1.0,0.1875
257,0.9765625,0.375,0.9609375,0.234375,0.984375,0.1953125
258,0.9140625,0.359375,0.9453125,0.1796875,1.0,0.2421875
259,1.0,0.3671875,0.9453125,0.203125,0.9765625,0.1953125
260,0.96875,0.3125,0.953125,0.2421875,1.0,0.203125
261,0.9609375,0.3515625,0.953125,0.25,1.0,0.21875
262,0.9609375,0.390625,0.9140625,0.25,0.9921875,0.2734375
263,0.984375,0.4140625,0.984375,0.2890625,1.0,0.1953125
264,0.953125,0.25,0.9921875,0.1484375,1.0,0.234375
265,0.984375,0.3515625,0.8828125,0.2734375,1.0,0.3359375
266,0.9765625,0.3828125,0.9921875,0.21875,1.0,0.21875
267,0.984375,0.3203125,0.96875,0.2734375,1.0,0.203125
268,0.9921875,0.3125,1.0,0.1640625,0.953125,0.1484375
269,0.9921875,0.34375,0.9765625,0.2265625,0.984375,0.265625
270,0.984375,0.421875,0.9453125,0.2421875,0.9453125,0.234375
271,0.96875,0.453125,0.8515625,0.1953125,0.7578125,0.203125
272,0.6484375,0.3828125,0.53125,0.2265625,1.0,0.1953125
273,0.9765625,0.3359375,0.9921875,0.1953125,0.9453125,0.1328125
274,0.9296875,0.328125,0.96875,0.1328125,1.0,0.1328125
275,0.984375,0.4296875,0.953125,0.1796875,1.0,0.1875
276,1.0,0.3515625,0.9375,0.140625,0.9609375,0.171875
277,0.9921875,0.3515625,0.7734375,0.125,0.734375,0.1328125
278,0.7578125,0.3984375,0.7109375,0.234375,1.0,0.15625
279,0.8984375,0.390625,0.953125,0.234375,0.984375,0.1328125
280,0.8203125,0.328125,0.875,0.234375,1.0,0.125
281,0.9765625,0.390625,0.96875,0.234375,0.90625,0.21875
282,0.8984375,0.3125,0.8671875,0.2109375,0.4609375,0.2109375
283,0.8359375,0.3828125,0.8671875,0.2890625,0.8359375,0.1484375
284,0.9140625,0.375,0.7578125,0.2890625,0.2421875,0.2109375
